method,runtime_s,objective_value
Greedy,0.00073770832871863,2377.8479942855497
Greedy + Local Search,25.45996287499535,2338.5667829158333
Simulated Annealing,0.08992770832749859,2368.2857902022165
Exact MIP,1887.6904483416631,2360.6491430331457
