method,runtime_s,objective_value
Greedy,7.433333343619274e-05,18.668586423073908
Greedy + Local Search,0.04099865555569219,14.089169936949666
Simulated Annealing,0.049594816670934155,13.754419498828376
Exact MIP,2.5354637777782045,12.943588936303238
