method,runtime_s,objective_value
Greedy,3.1100003980100155e-05,9.250684120291414
Greedy + Local Search,0.0009110000100918114,7.484622357508866
Simulated Annealing,0.03714575001504272,7.5587536920816625
Exact MIP,0.5063460500095971,7.161152140543829
